FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000047;;Serviço;;01/01/2024;;874,78;;41,99;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000048;;Serviço;;01/01/2024;;200,00;;9,60;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000049;;Serviço;;01/01/2024;;532,12;;25,54;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000050;;Serviço;;01/01/2024;;754,00;;36,19;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000051;;Serviço;;01/01/2024;;46,92;;2,25;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000052;;Serviço;;01/01/2024;;471,74;;22,64;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000053;;Serviço;;01/01/2024;;4.954,40;;237,81;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000054;;Serviço;;01/01/2024;;421,17;;20,22;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000055;;Serviço;;01/01/2024;;8.720,34;;418,58;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000056;;Serviço;;01/01/2024;;180,40;;8,66;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000057;;Serviço;;01/01/2024;;1.264,92;;60,72;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000058;;Serviço;;01/01/2024;;4.056,25;;194,70;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000059;;Serviço;;01/01/2024;;1.903,20;;91,35;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000060;;Serviço;;01/01/2024;;3.566,31;;171,18;;;;;;;;170806
